gridID,poly
2076,"POLYGON ((105 -25, 110 -25, 110 -30, 105 -30, 105 -25))"
2077,"POLYGON ((105 -30, 110 -30, 110 -35, 105 -35, 105 -30))"
2078,"POLYGON ((105 -35, 110 -35, 110 -40, 105 -40, 105 -35))"
2079,"POLYGON ((105 -40, 110 -40, 110 -45, 105 -45, 105 -40))"
2080,"POLYGON ((105 -45, 110 -45, 110 -50, 105 -50, 105 -45))"
2081,"POLYGON ((105 -50, 110 -50, 110 -55, 105 -55, 105 -50))"
2082,"POLYGON ((105 -55, 110 -55, 110 -60, 105 -60, 105 -55))"
2083,"POLYGON ((105 -60, 110 -60, 110 -65, 105 -65, 105 -60))"
2084,"POLYGON ((105 -65, 110 -65, 110 -70, 105 -70, 105 -65))"
2085,"POLYGON ((105 -70, 110 -70, 110 -75, 105 -75, 105 -70))"
2086,"POLYGON ((105 -75, 110 -75, 110 -80, 105 -80, 105 -75))"
2087,"POLYGON ((105 -80, 110 -80, 110 -85, 105 -85, 105 -80))"
2088,"POLYGON ((105 -85, 110 -85, 110 -90, 105 -90, 105 -85))"
2089,"POLYGON ((110 90, 115 90, 115 85, 110 85, 110 90))"
2090,"POLYGON ((110 85, 115 85, 115 80, 110 80, 110 85))"
2091,"POLYGON ((110 80, 115 80, 115 75, 110 75, 110 80))"
2092,"POLYGON ((110 75, 115 75, 115 70, 110 70, 110 75))"
2093,"POLYGON ((110 70, 115 70, 115 65, 110 65, 110 70))"
2094,"POLYGON ((110 65, 115 65, 115 60, 110 60, 110 65))"
2095,"POLYGON ((110 60, 115 60, 115 55, 110 55, 110 60))"
2096,"POLYGON ((110 55, 115 55, 115 50, 110 50, 110 55))"
2097,"POLYGON ((110 50, 115 50, 115 45, 110 45, 110 50))"
2098,"POLYGON ((110 45, 115 45, 115 40, 110 40, 110 45))"
2099,"POLYGON ((110 40, 115 40, 115 35, 110 35, 110 40))"
2100,"POLYGON ((110 35, 115 35, 115 30, 110 30, 110 35))"
2101,"POLYGON ((110 30, 115 30, 115 25, 110 25, 110 30))"
2102,"POLYGON ((110 25, 115 25, 115 20, 110 20, 110 25))"
2103,"POLYGON ((110 20, 115 20, 115 15, 110 15, 110 20))"
2104,"POLYGON ((110 15, 115 15, 115 10, 110 10, 110 15))"
2105,"POLYGON ((110 10, 115 10, 115 5, 110 5, 110 10))"
2106,"POLYGON ((110 5, 115 5, 115 0, 110 0, 110 5))"
2107,"POLYGON ((110 0, 115 0, 115 -5, 110 -5, 110 0))"
2108,"POLYGON ((110 -5, 115 -5, 115 -10, 110 -10, 110 -5))"
2109,"POLYGON ((110 -10, 115 -10, 115 -15, 110 -15, 110 -10))"
2110,"POLYGON ((110 -15, 115 -15, 115 -20, 110 -20, 110 -15))"
2111,"POLYGON ((110 -20, 115 -20, 115 -25, 110 -25, 110 -20))"
2112,"POLYGON ((110 -25, 115 -25, 115 -30, 110 -30, 110 -25))"
2113,"POLYGON ((110 -30, 115 -30, 115 -35, 110 -35, 110 -30))"
2114,"POLYGON ((110 -35, 115 -35, 115 -40, 110 -40, 110 -35))"
2115,"POLYGON ((110 -40, 115 -40, 115 -45, 110 -45, 110 -40))"
2116,"POLYGON ((110 -45, 115 -45, 115 -50, 110 -50, 110 -45))"
2117,"POLYGON ((110 -50, 115 -50, 115 -55, 110 -55, 110 -50))"
2118,"POLYGON ((110 -55, 115 -55, 115 -60, 110 -60, 110 -55))"
